RCDTS,RCDT,Site_Number,Site_County,District_Clean,City_Clean,Site_Address,Site_Zip,School_Name_Clean,Title_1_Status,#_Student_Enrollment,%_Student_Enrollment_-_Low_Income,Student_Attendance_Rate,Student_Chronic_Truancy_Rate,Chronically_Truant_Students,High_School_Dropout_Rate_-_Total,High_School_4-Year_Graduation_Rate_-_Total,Chronic_Absenteeism,Free_Eligibles,Reduced_Eligibles,PaidEligibles,Enrollment,Eligibility_Percent,Participates_in_CEP,Poverty_Level
190222010261004,19022201026,12791,Dupage,cusd 201,westmont,944 Oakwood Dr,60559-1038,westmont jr high school,Schoolwide Title I Program,273,35.9,94.6,6.6,18,NA,NA,13.5,99,10,158,267,40.82,Non-CEP,Mid-Low Poverty
190222010262001,19022201026,12792,Dupage,cusd 201,westmont,200 N Linden Ave,60559-1700,j t manning elem school,NA,333,26.4,95.9,4.7,13,NA,NA,5.4,85,10,240,335,28.36,Non-CEP,Mid-Low Poverty
190222010262002,19022201026,12793,Dupage,cusd 201,westmont,125 W Traube Ave,60559-1440,c e miller elem school,Schoolwide Title I Program,251,41,96.1,5.5,11,NA,NA,7,101,4,150,255,41.18,Non-CEP,Mid-Low Poverty
190222020260001,19022202026,12795,Dupage,lisle cusd 202,lisle,1800 Short St,60532-2163,lisle high school,Targeted Assistance Title I Program,462,26.8,94.1,1.7,8,2.8,92,14.5,94,20,347,461,24.73,Non-CEP,Mid-Low Poverty
190222020261002,19022202026,12796,Dupage,lisle cusd 202,lisle,5207 Center Ave,60532-2306,lisle jr high school,Targeted Assistance Title I Program,291,33.7,95.2,1.3,4,NA,NA,9.9,83,8,201,292,31.16,Non-CEP,Mid-Low Poverty
190222020262004,19022202026,12797,Dupage,lisle cusd 202,lisle,5205 Kingston Ave,60532-2316,schiesher elem school,Targeted Assistance Title I Program,421,27.3,95.5,1.3,4,NA,NA,8.6,120,8,292,420,30.48,Non-CEP,Mid-Low Poverty
190222020262005,19022202026,12798,Dupage,lisle cusd 202,lisle,1736 Middleton Ave,60532-1239,tate woods elem school,Targeted Assistance Title I Program,246,27.6,94.3,1.9,4,NA,NA,13.1,65,12,129,206,37.380000000000003,Non-CEP,Mid-Low Poverty
190222030260001,19022203026,12799,Dupage,naperville cusd 203,naperville,440 Aurora Ave,60540-6266,naperville central high school,NA,2717,13.4,96.3,1.4,37,1.8,98.1,5.4,186,31,2513,2730,7.95,Non-CEP,Low Poverty
190222030260013,19022203026,12800,Dupage,naperville cusd 203,naperville,899 N Mill St,60563-2909,naperville north high school,"Eligible, but Not a Participant in Title I Program",2674,15.3,97.1,2,54,1.6,96.9,3.9,218,28,2448,2694,9.1300000000000008,Non-CEP,Low Poverty
190222030261009,19022203026,12801,Dupage,naperville cusd 203,naperville,1320 Olympus Dr,60565-1258,lincoln jr high school,NA,797,14.4,96,0.9,7,NA,NA,5.3,61,19,724,804,9.9499999999999993,Non-CEP,Low Poverty
190222030261010,19022203026,12802,Dupage,naperville cusd 203,naperville,1525 N Loomis St,60563-1316,jefferson jr high school,Targeted Assistance Title I Program,848,25.2,96.4,1.6,14,NA,NA,5.4,154,28,672,854,21.31,Non-CEP,Mid-Low Poverty
190222030261011,19022203026,12803,Dupage,naperville cusd 203,naperville,201 N Washington St,60540-4513,washington jr high school,NA,597,12.6,95.5,0.2,1,NA,NA,9,48,6,550,604,8.94,Non-CEP,Low Poverty
190222030261012,19022203026,12804,Dupage,naperville cusd 203,naperville,1000 River Oak Dr,60565-2717,madison jr high school,NA,583,12.7,96.1,0.5,3,NA,NA,6.3,50,4,535,589,9.17,Non-CEP,Low Poverty
190222030261013,19022203026,12805,Dupage,naperville cusd 203,lisle,2929 Green Trails Dr,60532-6262,kennedy junior high school,NA,961,7.7,97,0.3,3,NA,NA,3.9,39,10,917,966,5.07,Non-CEP,Low Poverty
190222030262002,19022203026,12806,Dupage,naperville cusd 203,naperville,145 N Sleight St,60540-4739,ellsworth elem school,NA,255,14.9,95.9,0,0,NA,NA,6.9,24,3,229,256,10.55,Non-CEP,Low Poverty
190222030262003,19022203026,12807,Dupage,naperville cusd 203,naperville,1024 Magnolia Ln,60540-7543,elmwood elem school,Targeted Assistance Title I Program,668,16.9,96.4,0,0,NA,NA,4.2,81,7,583,671,13.11,Non-CEP,Low Poverty
190222030262004,19022203026,12808,Dupage,naperville cusd 203,naperville,525 S Brainard St,60540-6659,highlands elem school,NA,510,3.7,97.1,0,0,NA,NA,0.5,15,1,498,514,3.11,Non-CEP,Low Poverty
190222030262005,19022203026,12809,Dupage,naperville cusd 203,naperville,1300 N Mill St,60563-6301,mill street elem school,Targeted Assistance Title I Program,645,25.9,96.1,0.4,2,NA,NA,7,117,18,515,650,20.77,Non-CEP,Mid-Low Poverty
190222030262006,19022203026,12810,Dupage,naperville cusd 203,naperville,39 S Eagle St,60540-4421,naper elem school,NA,222,14.9,96.4,0,0,NA,NA,4.3,23,5,196,224,12.5,Non-CEP,Low Poverty
190222030262007,19022203026,12811,Dupage,naperville cusd 203,naperville,500 S Charles Ave,60540-6802,prairie elem school,NA,535,6.5,96.8,0,0,NA,NA,1.6,22,3,503,528,4.7300000000000004,Non-CEP,Low Poverty
190222030262008,19022203026,12812,Dupage,naperville cusd 203,naperville,1630 Warbler Dr,60565-2312,maplebrook elem school,NA,505,12.9,96.9,0,0,NA,NA,3.5,45,4,458,507,9.66,Non-CEP,Low Poverty
190222030262012,19022203026,12813,Dupage,naperville cusd 203,naperville,110 E 11th Ave,60563-2704,beebe elem school,Targeted Assistance Title I Program,559,22.5,96.4,0,0,NA,NA,4.5,91,12,464,567,18.170000000000002,Non-CEP,Low Poverty
190222030262013,19022203026,12814,Dupage,naperville cusd 203,naperville,6S151 Steeple Run Dr,60540-3711,steeple run elem school,Targeted Assistance Title I Program,595,18.8,96.6,0.6,3,NA,NA,3.2,81,11,509,601,15.31,Non-CEP,Low Poverty
190222030262014,19022203026,12815,Dupage,naperville cusd 203,naperville,500 Warwick Dr,60565-2603,scott elementary school,Targeted Assistance Title I Program,445,29.4,96.4,0,0,NA,NA,4.4,107,6,342,455,24.84,Non-CEP,Mid-Low Poverty
190222030262015,19022203026,12816,Dupage,naperville cusd 203,naperville,1651 Ranchview Dr,60565-1749,ranch view elementary school,NA,540,10.2,96.7,0,0,NA,NA,3.2,41,4,497,542,8.3000000000000007,Non-CEP,Low Poverty
190222030262016,19022203026,12817,Dupage,naperville cusd 203,naperville,2607 River Woods Dr,60565-6317,river woods elementary school,NA,508,8.5,97,0,0,NA,NA,1.9,29,1,478,508,5.91,Non-CEP,Low Poverty
190222030262017,19022203026,12818,Dupage,naperville cusd 203,naperville,1150 Muirhead Ave,60565-1690,meadow glens elementary school,NA,475,6.5,97.1,0,0,NA,NA,1.9,16,7,457,480,4.79,Non-CEP,Low Poverty
190222030262018,19022203026,12819,Dupage,naperville cusd 203,naperville,2403 Kingsley Dr,60565-3212,kingsley elementary school,NA,450,12.9,96.6,0.3,1,NA,NA,2.5,39,4,399,442,9.73,Non-CEP,Low Poverty
190222040260001,19022204026,12820,Dupage,indian prairie cusd 204,aurora,2590 Ogden Ave,60504-5900,waubonsie valley high school,"Eligible, but Not a Participant in Title I Program",2594,21.4,94,2.8,72,2.2,96.2,17.5,547,42,2105,2694,21.86,Non-CEP,Low Poverty
190222040260002,19022204026,12821,Will,indian prairie cusd 204,naperville,2360 95th St,60564-8934,neuqua valley high school,NA,3565,8.8,95.8,0.8,26,1.4,96.5,9,256,17,3260,3533,7.73,Non-CEP,Low Poverty
190222040260005,19022204026,62853,Dupage,indian prairie cusd 204,aurora,1801 N Eola Rd,60502-7065,metea valley high school,"Eligible, but Not a Participant in Title I Program",2925,19.8,95.5,2.4,72,1.7,95.7,9.2,593,30,2413,3036,20.52,Non-CEP,Low Poverty
190222040261001,19022204026,12822,Dupage,indian prairie cusd 204,naperville,1836 Brookdale Rd,60563-2013,thayer j hill middle school,"Eligible, but Not a Participant in Title I Program",878,20.5,96,3.1,28,NA,NA,5.4,188,12,719,919,21.76,Non-CEP,Low Poverty
190222040261002,19022204026,12823,Will,indian prairie cusd 204,naperville,2621 Springdale Cir,60564-8519,gordon gregory middle school,NA,849,8.2,96.6,0.1,1,NA,NA,4,70,2,793,865,8.32,Non-CEP,Low Poverty
190222040261003,19022204026,12824,Dupage,indian prairie cusd 204,aurora,2721 Stonebridge Blvd,60502-8403,francis granger middle school,"Eligible, but Not a Participant in Title I Program",1014,18.7,96.2,1.6,17,NA,NA,5.5,198,14,850,1062,19.96,Non-CEP,Low Poverty
190222040261004,19022204026,12825,Will,indian prairie cusd 204,naperville,4020 111th St,60564-5027,clifford crone middle school,NA,871,4.8,96.3,0,0,NA,NA,4.7,51,1,836,888,5.86,Non-CEP,Low Poverty
190222040261005,19022204026,42595,Dupage,indian prairie cusd 204,aurora,787 Meadowridge Dr,60504-5380,still middle school,"Eligible, but Not a Participant in Title I Program",780,17.1,96,0.1,1,NA,NA,7,137,9,668,814,17.940000000000001,Non-CEP,Low Poverty
190222040261006,19022204026,50712,Will,indian prairie cusd 204,naperville,2815 Mistflower Ln,60564-4913,scullen middle school,NA,1043,11,95.7,1.7,17,NA,NA,7.3,115,5,945,1065,11.27,Non-CEP,Low Poverty
190222040261007,19022204026,62852,Dupage,indian prairie cusd 204,aurora,1305 Long Grove Dr,60504-8990,fischer middle school,"Eligible, but Not a Participant in Title I Program",881,33.4,95.5,1.8,16,NA,NA,10.1,280,26,623,929,32.94,Non-CEP,Mid-Low Poverty
190222040262002,19022204026,12826,Dupage,indian prairie cusd 204,naperville,30W240 Bruce Ln,60563-9081,longwood elem school,Schoolwide Title I Program,408,42.9,95.2,3.5,12,NA,NA,11.1,183,8,249,440,43.41,Non-CEP,Mid-Low Poverty
190222040262005,19022204026,12828,Will,indian prairie cusd 204,naperville,1301 Springdale Cir,60564-8729,robert clow elem sch,NA,368,13.3,95.2,0.3,1,NA,NA,7,50,0,332,382,13.09,Non-CEP,Low Poverty
190222040262006,19022204026,12829,Dupage,indian prairie cusd 204,naperville,1200 Redfield Rd,60563-0436,brookdale elementary school,"Eligible, but Not a Participant in Title I Program",507,23.9,95.9,2.7,11,NA,NA,7.7,126,1,397,524,24.24,Non-CEP,Low Poverty
190222040262007,19022204026,12830,Dupage,indian prairie cusd 204,aurora,995 Long Grove Dr,60504-5958,georgetown elementary school,Schoolwide Title I Program,495,59.6,95.3,2.3,10,NA,NA,11.5,278,24,217,519,58.19,Non-CEP,Mid-High Poverty
190222040262008,19022204026,12831,Dupage,indian prairie cusd 204,aurora,3000 Village Green Dr,60504-7276,mccarty elementary school,Schoolwide Title I Program,527,33.4,95.5,2.2,10,NA,NA,8.5,165,16,378,559,32.380000000000003,Non-CEP,Mid-Low Poverty
190222040262009,19022204026,12832,Dupage,indian prairie cusd 204,naperville,2700 Seiler Dr,60565-4369,spring brook elementary school,NA,595,4,96,0,0,NA,NA,5.7,23,1,579,603,3.98,Non-CEP,Low Poverty
190222040262010,19022204026,12833,Dupage,indian prairie cusd 204,naperville,800 S Whispering Hills Dr,60540-1317,may watts elementary school,NA,629,5.9,95.3,0,0,NA,NA,9.9,37,0,599,636,5.82,Non-CEP,Low Poverty
190222040262012,19022204026,12835,Dupage,indian prairie cusd 204,aurora,460 Inverness Dr,60504-5270,reba o steck elementary school,NA,633,9.3,96.1,0,0,NA,NA,5.8,61,4,578,643,10.11,Non-CEP,Low Poverty
190222040262013,19022204026,12836,Will,indian prairie cusd 204,naperville,3731 Lawrence Dr,60564-4176,patterson elementary school,NA,497,4.4,96.5,0,0,NA,NA,2.7,26,0,479,505,5.15,Non-CEP,Low Poverty
190222040262015,19022204026,12837,Dupage,indian prairie cusd 204,aurora,2700 Stonebridge Blvd,60502-9444,gwendolyn brooks elementary,NA,642,8.7,96.2,0.4,2,NA,NA,4.7,57,3,592,652,9.1999999999999993,Non-CEP,Low Poverty
190222040262016,19022204026,12838,Will,indian prairie cusd 204,naperville,1585 White Eagle Dr,60564-9301,white eagle elementary,NA,561,10.5,95.2,0,0,NA,NA,10.3,59,2,515,576,10.59,Non-CEP,Low Poverty
190222040262017,19022204026,12839,Will,indian prairie cusd 204,naperville,2315 High Meadow Rd,60564-4319,v blanche graham elementary,NA,328,6.7,96.3,0,0,NA,NA,3,13,1,318,332,4.22,Non-CEP,Low Poverty
190222040262018,19022204026,12840,Dupage,indian prairie cusd 204,naperville,1212 Sanctuary Ln,60540-1902,mary lou cowlishaw elementary,Schoolwide Title I Program,697,27,95.8,0.5,3,NA,NA,6.9,190,7,539,736,26.77,Non-CEP,Mid-Low Poverty
190222040262019,19022204026,15101,Will,indian prairie cusd 204,naperville,2408 Meadow Lake Dr,60564-4362,oliver julian kendall elem school,NA,354,5.9,96.1,0,0,NA,NA,5.6,24,0,341,365,6.58,Non-CEP,Low Poverty
190222040262020,19022204026,15100,Dupage,indian prairie cusd 204,aurora,2707 Ridge Rd,60504-6033,peter m gombert elementary sch,Schoolwide Title I Program,376,37.2,95.8,4.5,15,NA,NA,7.5,139,6,248,393,36.9,Non-CEP,Mid-Low Poverty
190222040262021,19022204026,42592,Dupage,indian prairie cusd 204,aurora,800 Asbury Dr,60502-9086,nancy young elementary school,NA,657,16.6,95.3,0.9,5,NA,NA,10.1,104,8,571,683,16.399999999999999,Non-CEP,Low Poverty
190222040262022,19022204026,42594,Will,indian prairie cusd 204,naperville,2620 Leverenz Rd,60564-4723,arlene welch elementary school,"Eligible, but Not a Participant in Title I Program",624,19.2,95.7,1.1,6,NA,NA,8.8,113,10,526,649,18.95,Non-CEP,Low Poverty
190222040262023,19022204026,42593,Will,indian prairie cusd 204,bolingbrook,1835 Apple Valley Rd,60490-6548,wayne builta elementary school,NA,343,14.3,95.9,0,0,NA,NA,8,48,1,300,349,14.04,Non-CEP,Low Poverty
190222040262024,19022204026,50713,Will,indian prairie cusd 204,naperville,3204 Tall Grass Dr,60564-8253,fry elementary school,NA,617,4.9,95.6,0,0,NA,NA,7,31,2,596,629,5.25,Non-CEP,Low Poverty
190222040262025,19022204026,50711,Dupage,indian prairie cusd 204,naperville,1560 Westglen Dr,60565-1369,owen elementary school,NA,578,15.6,95.4,0.4,2,NA,NA,10.5,85,1,510,596,14.43,Non-CEP,Low Poverty
190222040262026,19022204026,58744,Will,indian prairie cusd 204,naperville,4008 Chinaberry Ln,60564-1131,daniellejoy peterson elem sch,NA,684,4.7,96.1,0,0,NA,NA,5.8,28,5,661,694,4.76,Non-CEP,Low Poverty
190222050260003,19022205026,12842,Dupage,elmhurst sd 205,elmhurst,355 W Saint Charles Rd,60126-3172,york comm high school,Targeted Assistance Title I Program,2829,15.7,95.2,5.2,146,2.2,94.9,9.9,407,39,2362,2808,15.88,Non-CEP,Low Poverty
190222050261001,19022205026,12843,Dupage,elmhurst sd 205,elmhurst,111 W Butterfield Rd,60126-5014,bryan middle school,NA,711,6.5,96,1.1,8,NA,NA,5.3,39,5,665,709,6.21,Non-CEP,Low Poverty
190222050261002,19022205026,12844,Dupage,elmhurst sd 205,elmhurst,155 E Victory Pkwy,60126-1215,churchville middle school,Targeted Assistance Title I Program,524,36.5,95.5,2.8,15,NA,NA,10,176,14,336,526,36.119999999999997,Non-CEP,Mid-Low Poverty
190222050261012,19022205026,12845,Dupage,elmhurst sd 205,elmhurst,345 E Saint Charles Rd,60126-3655,sandburg middle  school,NA,669,8.4,96,2.1,14,NA,NA,5.6,48,8,613,669,8.3699999999999992,Non-CEP,Low Poverty
190222050262002,19022205026,12846,Dupage,elmhurst sd 205,elmhurst,246 S Fair Ave,60126-3600,edison elem school,NA,295,5.1,96.2,0.8,2,NA,NA,4.3,15,0,280,295,5.08,Non-CEP,Low Poverty
190222050262003,19022205026,12847,Dupage,elmhurst sd 205,elmhurst,888 N Wilson St,60126-1376,conrad fischer elem school,Schoolwide Title I Program,463,63.1,94.1,7.8,31,NA,NA,17.7,266,25,170,461,63.12,Non-CEP,Mid-High Poverty
190222050262004,19022205026,12848,Dupage,elmhurst sd 205,elmhurst,400 N West Ave,60126-2128,emerson elem school,NA,442,12,96.3,0,0,NA,NA,3.9,51,1,390,442,11.76,Non-CEP,Low Poverty
190222050262005,19022205026,12849,Dupage,elmhurst sd 205,elmhurst,295 N Emroy Ave,60126-2468,field elem school,NA,405,8.4,96.2,2.7,10,NA,NA,4.9,32,3,370,405,8.64,Non-CEP,Low Poverty
190222050262006,19022205026,12850,Dupage,elmhurst sd 205,elmhurst,145 W Arthur St,60126-3320,hawthorne elem school,NA,495,5.3,95.8,0,0,NA,NA,3.6,28,0,467,495,5.66,Non-CEP,Low Poverty
190222050262007,19022205026,12851,Dupage,elmhurst sd 205,elmhurst,925 S Swain Ave,60126-4963,jackson elem school,NA,458,8.5,95.9,1,4,NA,NA,5,39,2,417,458,8.9499999999999993,Non-CEP,Low Poverty
190222050262008,19022205026,12852,Dupage,elmhurst sd 205,elmhurst,360 E Crescent Ave,60126-4072,jefferson elem school,NA,382,2.9,95.5,1.2,4,NA,NA,5.9,9,1,372,382,2.62,Non-CEP,Low Poverty
190222050262009,19022205026,12853,Dupage,elmhurst sd 205,elmhurst,565 S Fairfield Ave,60126-3816,lincoln elem school,NA,540,2.2,96.1,1.5,7,NA,NA,2.8,12,0,528,540,2.2200000000000002,Non-CEP,Low Poverty
200240010260005,20024001026,12857,Edwards,edwards county cusd 1,albion,361 W Main St,62806-1011,edwards county high school,"Eligible, but Not a Participant in Title I Program",298,31.9,94.5,7.8,23,3.2,93.2,14.6,88,4,207,299,30.77,Non-CEP,Mid-Low Poverty
200240010262001,20024001026,12858,Edwards,edwards county cusd 1,albion,361 W Main St,62806-1011,albion grade school,Targeted Assistance Title I Program,439,39.2,95.5,1.6,6,NA,NA,8.7,158,15,258,431,40.14,Non-CEP,Mid-Low Poverty
200240010262004,20024001026,12859,Edwards,edwards county cusd 1,west salem,105 E School St,62476-1114,west salem grade school,Targeted Assistance Title I Program,149,49.7,96.3,1.5,2,NA,NA,6,62,10,77,149,48.32,Non-CEP,Mid-Low Poverty
200300070260001,20030007026,12860,Gallatin,gallatin cusd 7,junction,5175 Highway 13,62954-2101,gallatin high school,Schoolwide Title I Program,207,51.2,92.7,17.1,37,4.3,88.9,28.6,103,11,94,208,54.81,Non-CEP,Mid-High Poverty
200300070261001,20030007026,12861,Gallatin,gallatin cusd 7,junction,5175 Highway 13,62954-2101,gallatin junior high school,Schoolwide Title I Program,234,61.5,94,4.3,10,NA,NA,17.2,127,16,92,235,60.85,Non-CEP,Mid-High Poverty
200300070262001,20030007026,12862,Gallatin,gallatin cusd 7,junction,5175 Highway 13,62954-2101,gallatin elementary school,Schoolwide Title I Program,309,69.9,95.1,3.4,7,NA,NA,11.7,202,15,94,311,69.77,Non-CEP,Mid-High Poverty
200330100260002,20033010026,46825,Hamilton,hamilton co cusd 10,mc leansboro,1 Fox Ln,62859-1149,hamilton county jrsr high school,"Eligible, but Not a Participant in Title I Program",554,48.9,94.9,3.2,18,3.3,95.7,13.8,255,29,271,555,51.17,Non-CEP,Mid-Low Poverty
200330100262002,20033010026,13034,Hamilton,hamilton co cusd 10,dahlgren,PO Box 70,62828-0070,dahlgren elem school,Schoolwide Title I Program,140,46.4,95,0,0,NA,NA,13.9,64,5,71,140,49.29,Non-CEP,Mid-Low Poverty
200330100262004,20033010026,13036,Hamilton,hamilton co cusd 10,mc leansboro,501 E Randolph St,62859-1564,east side elementary school,Schoolwide Title I Program,424,57.3,94.6,3.2,12,NA,NA,13.6,224,25,178,427,58.31,Non-CEP,Mid-High Poverty
200330100263001,20033010026,13038,Hamilton,hamilton co cusd 10,mc leansboro,204 W Cherry St,62859-1103,hamilton county preschool center,"Eligible, but Not a Participant in Title I Program",79,54.4,NA,NA,NA,NA,NA,NA,37,2,45,84,46.43,Non-CEP,Mid-High Poverty
200350010260003,20035001026,12863,Hardin,hardin county cusd 1,elizabethtown,PO Box 218,62931-0218,hardin county high school,Schoolwide Title I Program,163,63.2,91.2,33.5,50,1.2,87,38.8,139,0,25,164,84.31,CEP,Mid-High Poverty
200350010261001,20035001026,12864,Hardin,hardin county cusd 1,elizabethtown,PO Box 218,62931-0218,hardin county jr high school,Schoolwide Title I Program,124,70.2,93.5,24.1,30,NA,NA,24.1,123,0,2,125,97.91,CEP,Mid-High Poverty
200350010262001,20035001026,12865,Hardin,hardin county cusd 1,elizabethtown,PO Box 218,62931-0218,hardin county elem school,Schoolwide Title I Program,253,71.5,93.9,19,39,NA,NA,19.5,254,0,0,254,100,CEP,Mid-High Poverty
200760010260001,20076001026,12866,Pope,pope co cud 1,golconda,125 State Highway 146 W,62938-4203,pope co high school,Schoolwide Title I Program,153,59.5,94.6,11,16,2.6,87.5,15.7,71,16,65,152,57.24,Non-CEP,Mid-High Poverty
200760010262002,20076001026,12867,Pope,pope co cud 1,golconda,125 State Highway 146 W,62938-4203,pope county elementary school,Schoolwide Title I Program,349,61.9,94,5.4,16,NA,NA,15,193,26,136,355,61.69,Non-CEP,Mid-High Poverty
200830010260001,20083001026,12868,Saline,galatia cusd 1,galatia,200 N McKinley St,62935-1104,galatia high school,"Eligible, but Not a Participant in Title I Program",123,41.5,92.3,18.7,23,2.3,92,30.2,86,0,37,123,69.569999999999993,CEP,Mid-Low Poverty
200830010261001,20083001026,12869,Saline,galatia cusd 1,galatia,200 N McKinley St,62935-1104,galatia jr high,Targeted Assistance Title I Program,60,58.3,92.6,12.7,8,NA,NA,30.2,50,0,10,60,82.11,CEP,Mid-High Poverty
200830010262002,20083001026,12870,Saline,galatia cusd 1,galatia,200 N Hickory St,62935-1002,galatia elem school,Targeted Assistance Title I Program,211,53.1,94,6.7,12,NA,NA,16.7,195,0,20,215,90.59,CEP,Mid-High Poverty
200830020260001,20083002026,12871,Saline,carrier millsstonefort cusd 2,carrier mills,7071 US 45 S,62917-1230,carrier millsstonefort h s,"Eligible, but Not a Participant in Title I Program",127,48,94.2,11.4,15,2.9,93.9,16.6,66,0,66,132,50,Non-CEP,Mid-Low Poverty
200830020262002,20083002026,12872,Saline,carrier millsstonefort cusd 2,carrier mills,213 W Furlong St,NA,carrier millsstonefort elem sch,Schoolwide Title I Program,323,46.7,94.5,5.3,13,NA,NA,19,324,0,0,324,100,CEP,Mid-Low Poverty
200830030260001,20083003026,12873,Saline,harrisburg cusd 3,harrisburg,333 W College St,62946-2518,harrisburg high school,"Eligible, but Not a Participant in Title I Program",543,55.4,92.8,7.7,38,4.6,71,25.4,256,43,238,537,55.68,Non-CEP,Mid-High Poverty
200830030261002,20083003026,50652,Saline,harrisburg cusd 3,harrisburg,312 Bulldog Blvd,62946-4686,harrisburg middle school,"Eligible, but Not a Participant in Title I Program",428,58.2,93.4,1.2,5,NA,NA,22.7,219,43,165,427,61.36,Non-CEP,Mid-High Poverty
200830030262009,20083003026,12875,Saline,harrisburg cusd 3,harrisburg,315 E Church St,62946-1708,east side intermediate school,Schoolwide Title I Program,409,64.5,94.7,2,8,NA,NA,9.4,234,31,148,413,64.16,Non-CEP,Mid-High Poverty
200830030262010,20083003026,12876,Saline,harrisburg cusd 3,harrisburg,411 W Lincoln St,62946-2009,west side primary school,Schoolwide Title I Program,496,67.5,94.6,0,0,NA,NA,10.9,317,34,149,500,70.2,Non-CEP,Mid-High Poverty
200830040260001,20083004026,12877,Saline,eldorado cusd 4,eldorado,2200 Illinois Ave,62930-1851,eldorado high school,"Eligible, but Not a Participant in Title I Program",353,60.6,93.1,16.8,56,5,85.2,25.5,191,8,156,355,56.06,Non-CEP,Mid-High Poverty
200830040261002,20083004026,12878,Saline,eldorado cusd 4,eldorado,1907 1st St,62930-2103,eldorado middle school,"Eligible, but Not a Participant in Title I Program",234,66.2,94.3,16,37,NA,NA,17.3,140,8,86,234,63.25,Non-CEP,Mid-High Poverty
200830040262004,20083004026,12879,Saline,eldorado cusd 4,eldorado,1100 Alexander St,62930-2328,eldorado elem school,Schoolwide Title I Program,570,59.1,93.2,14.8,59,NA,NA,26.1,304,10,164,478,65.69,Non-CEP,Mid-High Poverty
200930170242001,20093017024,12882,Wabash,allendale ccsd 17,allendale,PO Box 130,62410-0130,allendale elementary school,Schoolwide Title I Program,149,61.7,95.3,1.8,2,NA,NA,11.7,56,22,50,128,60.94,Non-CEP,Mid-High Poverty
200933480260001,20093348026,12883,Wabash,wabash cusd 348,mount carmel,201 N Pear St,62863-2101,mount carmel high school,Schoolwide Title I Program,482,43.6,95,4,19,5.2,80.5,13.8,175,15,291,481,39.5,Non-CEP,Mid-Low Poverty
200933480261003,20093348026,46482,Wabash,wabash cusd 348,mount carmel,201 N Pear St,62863-2101,mt carmel junior high school,Schoolwide Title I Program,234,53.8,94.1,24.9,58,NA,NA,17.6,106,10,119,235,49.36,Non-CEP,Mid-High Poverty
200933480262003,20093348026,12885,Wabash,wabash cusd 348,mount carmel,1300 N Walnut St,62863-1257,mt carmel elementary school,Schoolwide Title I Program,393,59.3,94.9,2,4,NA,NA,13.9,192,12,130,334,61.08,Non-CEP,Mid-High Poverty
200933480262005,20093348026,46483,Wabash,wabash cusd 348,mount carmel,1520 Poplar St,62863-1260,mt carmel grade school,Schoolwide Title I Program,378,54.8,94.8,27,103,NA,NA,12.3,199,12,172,383,55.09,Non-CEP,Mid-High Poverty
200960060042001,20096006004,12887,Wayne,new hope ccsd 6,fairfield,1804 County Road 445 N,62837-2973,new hope elem school,Schoolwide Title I Program,172,39.5,97.5,1.4,2,NA,NA,1.4,56,13,104,173,39.880000000000003,Non-CEP,Mid-Low Poverty
200960140042001,20096014004,12888,Wayne,geff ccsd 14,geff,201 E Lafayette St,62842-1001,geff elem school,Schoolwide Title I Program,92,46.7,96.5,3.4,3,NA,NA,4.6,45,1,48,94,48.94,Non-CEP,Mid-Low Poverty
200960170042001,20096017004,12889,Wayne,jasper ccsd 17,fairfield,2030 County Road 1020 N,62837-2869,jasper elem school,Schoolwide Title I Program,169,37.3,96.6,0,0,NA,NA,4.6,48,12,109,169,35.5,Non-CEP,Mid-Low Poverty
200961000260001,20096100026,12891,Wayne,wayne city cusd 100,wayne city,PO Box 457,62895-0457,wayne city high school,"Eligible, but Not a Participant in Title I Program",144,39.6,94.5,12.5,18,5.8,96.8,20.1,46,10,88,144,38.89,Non-CEP,Mid-Low Poverty
200961000262005,20096100026,12894,Wayne,wayne city cusd 100,wayne city,408 E Mill St,62895-0457,wayne city attendance center,Schoolwide Title I Program,382,50.3,95.8,2.6,8,NA,NA,7.5,160,32,193,385,49.87,Non-CEP,Mid-High Poverty
200961120042001,20096112004,12895,Wayne,fairfield psd 112,fairfield,200 W Center St,62837-1701,center street elem school,Schoolwide Title I Program,323,62.8,95.4,5.8,18,NA,NA,12.2,179,38,111,328,66.16,Non-CEP,Mid-High Poverty
200961120042002,20096112004,12896,Wayne,fairfield psd 112,fairfield,806 N 1st St,62837-2458,north side elem school,Schoolwide Title I Program,346,43.1,94.9,10.8,20,NA,NA,11.3,142,18,98,258,62.02,Non-CEP,Mid-Low Poverty
200962000260001,20096200026,12897,Wayne,north wayne cusd 200,cisne,1456 US Highway 45,62823-9062,cisne high school,"Eligible, but Not a Participant in Title I Program",117,53,94.7,12.3,14,5,73.3,20.2,37,6,75,118,36.44,Non-CEP,Mid-High Poverty
200962000261001,20096200026,12898,Wayne,north wayne cusd 200,cisne,PO Box 69,62823-0069,cisne middle school,"Eligible, but Not a Participant in Title I Program",108,52.8,96.7,0,0,NA,NA,3.6,45,7,60,112,46.43,Non-CEP,Mid-High Poverty
200962000262002,20096200026,12899,Wayne,north wayne cusd 200,mount erie,300 School Dr,62446-1117,mount erie elem school,Schoolwide Title I Program,63,38.1,95.4,0,0,NA,NA,3.7,17,1,45,63,28.57,Non-CEP,Mid-Low Poverty
